Crop,Crop_matched,Target_mode,Soil_N_ppm,Soil_P_ppm,Soil_K_ppm,Target_N,Target_P,Target_K,Required_N,Required_P,Required_K,Complete_kg_ha,Urea_kg_ha,Compost_kg_ha,N_from_Complete,P_from_Complete,K_from_Complete,N_from_Urea,Total_N_supplied,Total_P_supplied,Total_K_supplied
String Bean,String Bean,M,30.17,19.18,26.45,38.8,44.2,40.5,8.6,25.0,14.0,178.6,9.35,7.76,25.0,25.0,25.0,6.0,25.0,25.0,25.0
String Bean,String Bean,M,29.45,20.2,33.9,38.7,43.2,40.3,9.3,23.0,6.4,164.3,1.83,2.95,23.0,23.0,23.0,3.0,23.0,23.0,23.0
Carrot,Carrot,M,68.77,33.88,27.15,77.2,62.2,75.5,8.4,28.3,48.4,345.7,1.08,1.82,48.4,48.4,48.4,2.0,48.4,48.4,48.4
Eggplant,Eggplant,M,68.66,19.54,28.98,83.5,50.7,58.5,14.8,31.2,29.5,222.9,6.46,1.68,31.21,31.21,31.21,6.0,31.21,31.21,31.21
Eggplant,Eggplant,L,55.54,20.39,32.22,92.9,81.9,93.6,37.4,61.5,61.4,439.3,7.74,9.63,61.5,61.5,61.5,9.0,61.5,61.5,61.5
String Bean,String Bean,L,34.08,19.27,27.1,50.3,93.8,52.2,16.2,74.5,25.1,532.1,8.59,9.0,74.49,74.49,74.49,10.0,74.52,74.5,74.5
Eggplant,Eggplant,H,73.78,19.24,25.26,66.6,20.6,29.0,9.29,1.4,3.7,26.4,5.41,5.31,3.7,3.7,3.7,7.0,3.7,3.7,3.7
Ampalaya,Ampalaya,L,41.44,16.71,25.89,87.5,82.4,62.4,46.1,65.7,36.5,469.3,1.44,8.06,65.7,65.7,65.7,10.0,65.7,65.7,65.7
String Bean,String Bean,H,37.08,20.61,26.09,34.8,20.9,30.7,4.22,0.3,4.6,32.9,9.98,6.99,4.61,4.61,4.61,3.0,4.61,4.61,4.61
Ampalaya,Ampalaya,H,39.97,23.86,30.16,39.2,19.3,29.2,6.86,3.39,4.98,8.46,8.02,4.09,10.0,4.0,3.0,2.0,9.0,3.0,6.0
String Bean,String Bean,L,32.96,20.1,29.5,51.1,88.7,50.0,18.1,68.6,20.5,490.0,2.47,2.64,68.6,68.6,68.6,5.0,68.6,68.6,68.6
Cabbage,Cabbage,L,118.61,28.31,21.2,146.1,57.3,59.0,27.5,29.0,37.8,270.0,1.48,3.26,37.8,37.8,37.8,10.0,37.8,37.8,37.8
Cabbage,Cabbage,H,120.41,34.74,19.32,125.8,20.7,30.0,5.4,9.86,10.7,76.4,3.75,2.94,10.7,10.7,10.7,4.0,10.7,10.7,10.7
Okra,Okra,H,85.34,20.45,27.68,80.3,19.8,30.0,8.52,5.37,2.3,16.4,4.35,5.53,2.3,2.3,2.3,1.0,2.3,2.3,2.3
String Bean,String Bean,M,35.9,21.9,32.62,40.4,46.7,39.7,4.5,24.8,7.1,177.1,4.4,1.0,24.79,24.79,24.79,7.0,24.82,24.8,24.8
Chayote,Chayote,H,43.11,20.2,30.98,39.1,19.4,30.0,6.87,3.68,8.17,4.1,1.1,3.17,2.0,8.0,1.0,5.0,2.0,2.0,9.0
String Bean,String Bean,M,36.48,19.16,28.83,41.5,47.0,42.0,5.0,27.8,13.2,198.6,4.15,2.85,27.8,27.8,27.8,8.0,27.8,27.8,27.8
Patola,Patola,L,28.87,15.03,28.68,90.8,81.3,60.6,61.9,66.3,31.9,473.6,7.93,7.52,66.3,66.3,66.3,10.0,66.3,66.3,66.3
Tomato,Tomato,M,67.49,29.76,30.68,81.7,74.6,62.6,14.2,44.8,31.9,320.0,2.71,5.43,44.8,44.8,44.8,9.0,44.8,44.8,44.8
Tomato,Tomato,H,67.89,27.56,32.67,67.2,30.2,30.4,4.02,2.6,7.93,18.6,5.0,5.95,2.6,2.6,2.6,9.0,2.6,2.6,2.6
String Bean,String Bean,H,36.45,18.5,28.99,33.4,19.4,29.1,5.26,0.9,0.1,6.4,6.02,5.92,0.9,0.9,0.9,7.0,0.9,0.9,0.9
Tomato,Tomato,H,65.26,29.27,27.6,72.9,30.6,31.0,7.6,1.3,3.4,24.3,9.1,0.3,3.4,3.4,3.4,4.19,7.6,3.4,3.4
Patola,Patola,L,33.52,21.81,28.42,94.4,82.9,60.1,60.9,61.1,31.7,436.4,3.83,4.79,61.1,61.1,61.1,10.0,61.1,61.1,61.1
Chayote,Chayote,L,38.38,22.14,29.03,59.6,76.3,58.9,21.2,54.2,29.9,387.1,1.06,7.0,54.19,54.19,54.19,1.0,54.22,54.2,54.2
Ampalaya,Ampalaya,H,43.29,20.09,30.02,38.2,20.4,30.0,1.01,0.3,4.1,2.1,1.08,4.0,0.29,0.29,0.29,10.0,0.32,0.3,0.3
String Bean,String Bean,L,34.32,21.35,32.32,52.5,93.0,51.4,18.2,71.6,19.1,511.4,3.89,9.75,71.6,71.6,71.6,3.0,71.6,71.6,71.6
Carrot,Carrot,L,61.86,27.66,26.29,93.8,94.4,118.3,31.9,66.7,92.0,657.1,6.29,10.0,91.99,91.99,91.99,3.0,92.02,92.0,92.0
Chayote,Chayote,L,43.18,21.75,25.73,60.3,78.5,58.1,17.1,56.8,32.4,405.7,3.82,2.64,56.8,56.8,56.8,9.0,56.8,56.8,56.8
Okra,Okra,L,72.12,19.9,30.23,94.3,78.8,90.8,22.2,58.9,60.6,432.9,9.17,6.41,60.61,60.61,60.61,5.0,60.61,60.61,60.61
Chili Pepper,Chili Pepper,M,29.26,34.82,66.64,58.5,50.8,118.6,29.2,16.0,52.0,371.4,2.52,6.63,52.0,52.0,52.0,3.0,52.0,52.0,52.0
Eggplant,Eggplant,M,69.96,19.4,27.87,81.3,49.2,61.5,11.3,29.8,33.6,240.0,6.91,1.42,33.6,33.6,33.6,5.0,33.6,33.6,33.6
Eggplant,Eggplant,M,78.92,23.21,33.16,78.5,51.3,62.7,4.93,28.1,29.5,210.7,2.08,7.92,29.5,29.5,29.5,3.0,29.5,29.5,29.5
Ampalaya,Ampalaya,H,41.81,22.58,23.94,41.2,20.9,29.7,8.42,5.9,5.8,41.4,5.5,5.32,5.8,5.8,5.8,5.0,5.8,5.8,5.8
Okra,Okra,L,77.97,21.8,25.97,89.6,78.3,89.8,11.6,56.5,63.8,455.7,5.53,7.96,63.8,63.8,63.8,7.0,63.8,63.8,63.8
String Bean,String Bean,L,27.11,18.43,34.6,48.4,92.0,47.7,21.3,73.6,13.1,525.7,5.59,4.13,73.6,73.6,73.6,9.0,73.6,73.6,73.6
String Bean,String Bean,L,33.08,22.45,32.49,52.5,86.4,49.7,19.4,64.0,17.2,457.1,6.81,5.0,63.99,63.99,63.99,3.0,64.02,64.0,64.0
String Bean,String Bean,H,32.02,20.41,28.02,36.6,20.4,30.2,4.6,7.66,2.2,15.7,5.2,0.3,2.2,2.2,2.2,2.39,4.6,2.2,2.2
Carrot,Carrot,L,75.38,27.47,28.8,85.6,85.7,120.0,10.2,58.2,91.2,651.4,7.58,4.19,91.2,91.2,91.2,3.0,91.2,91.2,91.2
Carrot,Carrot,M,64.24,26.93,31.36,82.4,61.9,72.3,18.2,35.0,40.9,292.1,5.96,5.0,40.89,40.89,40.89,5.0,40.92,40.9,40.9
Ampalaya,Ampalaya,H,39.13,21.7,31.81,40.2,19.1,30.9,1.1,3.37,9.01,7.3,2.4,3.22,6.0,4.0,8.0,1.1,1.1,6.0,3.0
Carrot,Carrot,M,73.64,29.11,27.63,78.3,61.3,77.2,4.7,32.2,49.6,354.3,5.94,6.09,49.6,49.6,49.6,7.0,49.6,49.6,49.6
Cabbage,Cabbage,H,120.59,34.54,20.36,124.7,20.7,29.2,4.1,7.95,8.8,62.9,2.16,3.58,8.81,8.81,8.81,1.0,8.81,8.81,8.81
Cabbage,Cabbage,H,129.94,27.55,21.46,123.4,20.9,31.4,4.19,2.92,9.9,70.7,8.53,2.06,9.9,9.9,9.9,10.0,9.9,9.9,9.9
Cabbage,Cabbage,L,113.17,31.63,17.14,155.2,58.7,57.0,42.0,27.1,39.9,285.0,4.6,7.82,39.9,39.9,39.9,2.12,42.02,39.9,39.9
Eggplant,Eggplant,M,64.4,14.75,36.48,78.4,51.2,58.1,14.0,36.4,21.6,260.0,2.41,8.59,36.4,36.4,36.4,1.0,36.4,36.4,36.4
Ampalaya,Ampalaya,L,42.69,20.39,25.49,88.2,76.2,62.7,45.5,55.8,37.2,398.6,9.3,4.89,55.8,55.8,55.8,5.0,55.8,55.8,55.8
Carrot,Carrot,H,58.3,30.66,30.76,73.2,31.4,28.6,14.9,0.7,4.86,5.0,30.9,3.37,0.7,0.7,0.7,14.21,14.91,0.7,0.7
Carrot,Carrot,H,52.98,23.09,30.63,71.4,30.4,28.6,18.4,7.3,5.68,52.1,24.2,1.0,7.29,7.29,7.29,11.13,18.45,7.3,7.3
Patola,Patola,M,28.55,18.09,33.37,62.8,48.1,45.0,34.2,30.0,11.6,214.3,9.1,0.3,30.0,30.0,30.0,4.19,34.2,30.0,30.0
Patola,Patola,M,29.93,23.77,31.51,58.1,50.8,44.5,28.2,27.0,13.0,192.9,2.6,4.69,27.01,27.01,27.01,1.2,28.21,27.01,27.01
Tomato,Tomato,M,74.17,31.33,27.84,83.0,76.7,61.5,8.8,45.4,33.7,324.3,1.63,8.71,45.4,45.4,45.4,8.0,45.4,45.4,45.4
Carrot,Carrot,L,74.71,28.37,28.31,87.5,87.5,115.8,12.8,59.1,87.5,625.0,5.38,5.39,87.5,87.5,87.5,8.0,87.5,87.5,87.5
Eggplant,Eggplant,H,60.81,18.81,31.0,69.7,19.4,31.0,8.9,0.6,2.77,4.3,18.0,0.7,0.6,0.6,0.6,8.28,8.9,0.61,0.61
Chili Pepper,Chili Pepper,L,31.16,22.13,65.29,91.0,81.1,148.0,59.8,59.0,82.7,590.7,3.98,6.1,82.7,82.7,82.7,8.0,82.7,82.7,82.7
Ampalaya,Ampalaya,M,42.82,20.87,25.45,49.5,51.7,44.7,6.7,30.8,19.3,220.0,4.02,8.22,30.8,30.8,30.8,6.0,30.8,30.8,30.8
Chayote,Chayote,L,37.99,20.82,30.26,58.4,82.0,57.7,20.4,61.2,27.4,437.1,9.97,3.0,61.19,61.19,61.19,7.0,61.22,61.2,61.2
Carrot,Carrot,L,84.62,27.23,32.27,86.2,85.9,123.6,1.6,58.7,91.3,652.1,2.61,3.0,91.29,91.29,91.29,1.0,91.32,91.3,91.3
String Bean,String Bean,H,32.94,21.9,31.25,33.7,20.7,29.0,0.8,6.71,7.08,3.01,1.7,0.7,8.0,2.0,6.0,0.78,0.8,0.01,0.01
Tomato,Tomato,H,73.02,23.32,33.14,72.8,28.6,30.2,3.91,5.3,9.34,37.9,4.04,4.56,5.31,5.31,5.31,1.0,5.31,5.31,5.31
Cabbage,Cabbage,L,131.12,29.28,20.32,156.7,60.1,61.2,25.6,30.8,40.9,292.1,9.67,6.0,40.89,40.89,40.89,4.0,40.92,40.9,40.9
Chayote,Chayote,H,34.49,18.99,33.19,41.7,20.9,31.5,7.2,1.9,7.16,13.6,11.5,0.3,1.9,1.9,1.9,5.29,7.2,1.9,1.9
Carrot,Carrot,H,70.96,24.91,30.78,71.1,30.7,30.2,0.1,5.8,3.33,41.4,4.85,6.18,5.8,5.8,5.8,5.0,5.8,5.8,5.8
Okra,Okra,M,79.94,19.5,34.84,78.4,47.7,60.1,7.16,28.2,25.3,201.4,6.5,2.7,28.2,28.2,28.2,9.0,28.2,28.2,28.2
Okra,Okra,L,97.81,21.13,28.85,85.6,81.0,94.1,7.44,59.9,65.2,465.7,3.58,6.03,65.2,65.2,65.2,3.0,65.2,65.2,65.2
Cabbage,Cabbage,M,137.62,25.55,21.47,136.8,35.4,44.9,9.9,9.8,23.4,167.1,4.32,3.0,23.39,23.39,23.39,5.0,23.42,23.4,23.4
Eggplant,Eggplant,H,69.47,18.58,30.26,67.2,20.0,30.5,6.45,1.4,0.2,10.0,6.82,3.92,1.4,1.4,1.4,8.0,1.4,1.4,1.4
Carrot,Carrot,L,77.04,30.25,27.97,91.7,92.1,115.2,14.7,61.8,87.2,622.9,5.5,6.98,87.21,87.21,87.21,7.0,87.21,87.21,87.21
Eggplant,Eggplant,H,71.85,18.23,31.92,68.9,19.2,29.1,6.91,9.0,9.04,7.1,6.2,2.0,0.99,0.99,0.99,7.0,1.02,10.0,1.0
Carrot,Carrot,L,74.72,33.01,29.62,85.7,88.7,122.8,11.0,55.7,93.2,665.7,3.04,1.28,93.2,93.2,93.2,9.0,93.2,93.2,93.2
Chili Pepper,Chili Pepper,L,29.21,27.23,62.34,94.1,76.4,143.5,64.9,49.2,81.2,580.0,3.92,4.31,81.2,81.2,81.2,4.0,81.2,81.2,81.2
String Bean,String Bean,L,34.52,14.36,31.66,52.2,89.4,47.9,17.7,75.0,16.2,535.7,1.75,1.4,75.0,75.0,75.0,1.0,75.0,75.0,75.0
Ampalaya,Ampalaya,L,40.26,17.33,34.59,92.7,80.2,62.8,52.4,62.9,28.2,449.3,1.73,2.45,62.9,62.9,62.9,3.0,62.9,62.9,62.9
Chayote,Chayote,H,46.84,18.93,23.69,41.6,19.8,29.3,1.29,0.9,5.6,40.0,1.32,2.82,5.6,5.6,5.6,4.0,5.6,5.6,5.6
Carrot,Carrot,L,67.39,27.92,32.96,85.6,90.1,116.8,18.2,62.2,83.8,598.6,5.75,7.58,83.8,83.8,83.8,5.0,83.8,83.8,83.8
String Bean,String Bean,H,34.7,22.13,39.06,35.4,19.8,30.9,0.7,2.39,9.6,5.21,1.5,0.3,3.0,1.0,5.0,0.69,0.7,7.0,2.0
Eggplant,Eggplant,H,71.1,17.84,27.17,71.1,19.7,29.8,6.45,1.9,2.6,18.6,3.57,2.27,2.6,2.6,2.6,5.0,2.6,2.6,2.6
String Bean,String Bean,H,36.44,22.27,31.8,35.5,20.8,30.0,1.21,7.58,5.39,3.82,1.47,2.52,5.0,5.0,6.0,6.0,7.0,9.0,3.0
String Bean,String Bean,M,34.24,23.63,30.33,41.6,45.2,38.9,7.4,21.6,8.6,154.3,2.26,6.46,21.6,21.6,21.6,6.0,21.6,21.6,21.6
Carrot,Carrot,L,72.98,28.88,29.25,85.9,88.3,119.1,12.9,59.4,89.8,641.4,1.09,3.56,89.8,89.8,89.8,8.0,89.8,89.8,89.8
Chili Pepper,Chili Pepper,H,31.16,25.12,65.35,30.7,31.4,59.7,3.32,6.3,8.05,45.0,4.47,2.06,6.3,6.3,6.3,8.0,6.3,6.3,6.3
Okra,Okra,H,82.02,21.19,32.46,76.6,19.8,29.1,1.43,9.9,1.92,7.63,4.91,4.83,6.0,7.0,1.0,10.0,4.0,8.0,10.0
String Bean,String Bean,M,34.6,20.21,28.29,40.8,45.6,42.0,6.2,25.4,13.7,181.4,8.35,8.74,25.4,25.4,25.4,8.0,25.4,25.4,25.4
Eggplant,Eggplant,L,78.13,19.29,30.75,94.1,77.8,94.1,16.0,58.5,63.4,452.9,5.94,2.35,63.41,63.41,63.41,5.0,63.41,63.41,63.41
Patola,Patola,H,28.11,20.05,26.18,29.5,19.3,29.5,1.4,4.94,3.3,23.6,4.33,5.33,3.3,3.3,3.3,4.0,3.3,3.3,3.3
Carrot,Carrot,L,87.29,30.78,33.51,85.9,86.9,116.0,5.59,56.1,82.5,589.3,4.69,7.73,82.5,82.5,82.5,4.0,82.5,82.5,82.5
Chayote,Chayote,L,31.98,22.03,27.18,60.3,82.1,60.6,28.3,60.1,33.4,429.3,1.34,3.35,60.1,60.1,60.1,9.0,60.1,60.1,60.1
Cabbage,Cabbage,L,145.44,30.01,18.65,143.3,57.3,59.7,8.82,27.3,41.1,293.6,1.37,7.11,41.1,41.1,41.1,8.0,41.1,41.1,41.1
Patola,Patola,L,29.47,21.87,31.97,89.9,83.9,59.7,60.4,62.0,27.7,442.9,1.06,8.36,62.01,62.01,62.01,7.0,62.01,62.01,62.01
Ampalaya,Ampalaya,H,38.84,19.48,30.9,40.8,20.4,30.5,2.0,0.9,2.64,6.4,2.4,5.25,0.9,0.9,0.9,1.1,2.0,0.9,0.9
Eggplant,Eggplant,H,63.53,19.94,29.67,66.8,19.1,29.3,3.3,2.01,2.39,8.89,7.2,1.2,1.0,6.0,5.0,3.31,3.31,5.0,3.0
Cabbage,Cabbage,M,111.78,32.64,22.24,145.3,33.3,45.5,33.5,0.7,23.3,166.4,22.2,8.26,23.3,23.3,23.3,10.21,33.51,23.3,23.3
Cabbage,Cabbage,L,112.39,27.35,23.33,148.4,62.5,62.5,36.0,35.2,39.2,280.0,5.13,2.87,39.2,39.2,39.2,7.0,39.2,39.2,39.2
Patola,Patola,M,32.62,18.69,34.38,57.4,47.9,44.0,24.8,29.2,9.6,208.6,2.89,9.72,29.2,29.2,29.2,5.0,29.2,29.2,29.2
String Bean,String Bean,H,31.1,19.66,30.84,33.3,19.6,29.3,2.2,9.52,1.59,8.76,4.8,5.24,7.0,9.0,2.0,2.21,2.21,2.0,4.0
Ampalaya,Ampalaya,L,37.17,17.26,30.49,86.2,76.6,60.3,49.0,59.3,29.8,423.6,5.74,2.23,59.3,59.3,59.3,5.0,59.3,59.3,59.3
Okra,Okra,M,76.1,15.1,29.36,79.5,49.2,58.4,3.4,34.1,29.0,243.6,2.26,9.91,34.1,34.1,34.1,2.0,34.1,34.1,34.1
Tomato,Tomato,L,60.04,29.86,36.11,93.9,121.6,93.9,33.9,91.7,57.8,655.0,9.89,9.98,91.7,91.7,91.7,1.0,91.7,91.7,91.7
String Bean,String Bean,M,39.47,23.54,26.29,41.7,45.1,40.9,2.2,21.6,14.6,154.3,6.76,3.12,21.6,21.6,21.6,9.0,21.6,21.6,21.6
String Bean,String Bean,H,36.15,17.88,30.51,35.5,20.8,29.6,3.47,2.9,6.75,20.7,6.44,2.95,2.9,2.9,2.9,2.0,2.9,2.9,2.9
Chayote,Chayote,M,49.6,22.4,32.94,50.5,52.5,46.2,0.9,30.1,13.3,215.0,9.89,5.68,30.1,30.1,30.1,4.0,30.1,30.1,30.1
Eggplant,Eggplant,M,76.59,18.63,30.7,77.5,49.8,60.7,0.9,31.2,30.0,222.9,1.18,7.75,31.21,31.21,31.21,5.0,31.21,31.21,31.21
Carrot,Carrot,M,68.39,30.91,31.08,76.0,58.7,73.1,7.6,27.8,42.0,300.0,5.84,2.91,42.0,42.0,42.0,8.0,42.0,42.0,42.0
Patola,Patola,H,33.11,22.65,34.36,29.5,19.9,31.4,2.04,6.49,5.41,4.52,8.85,4.03,9.0,9.0,7.0,8.0,7.0,2.0,2.0
Chayote,Chayote,H,39.18,20.9,27.93,39.0,19.7,28.9,7.74,3.77,7.0,7.1,5.21,10.0,0.99,0.99,0.99,6.0,1.02,10.0,7.0
Patola,Patola,L,31.04,18.05,31.38,92.0,77.6,61.0,61.0,59.6,29.6,425.7,3.0,0.7,59.6,59.6,59.6,1.38,61.0,59.61,59.61
Carrot,Carrot,M,68.28,27.38,30.5,81.6,61.5,72.8,13.3,34.1,42.3,302.1,7.41,9.0,42.29,42.29,42.29,2.0,42.32,42.3,42.3
Carrot,Carrot,M,75.42,25.08,27.8,76.6,59.8,76.5,1.2,34.7,48.7,347.9,8.55,5.92,48.71,48.71,48.71,8.0,48.71,48.71,48.71
Tomato,Tomato,H,69.7,24.41,25.13,67.9,30.0,30.2,3.92,5.6,5.1,40.0,6.36,3.7,5.6,5.6,5.6,5.0,5.6,5.6,5.6
Ampalaya,Ampalaya,H,39.46,19.75,28.16,39.5,19.8,31.3,3.74,0.1,3.1,22.1,4.5,9.0,3.09,3.09,3.09,8.0,3.12,3.1,3.1
Tomato,Tomato,M,74.55,26.75,28.89,76.8,72.3,59.3,2.2,45.6,30.4,325.7,8.54,1.46,45.6,45.6,45.6,7.0,45.6,45.6,45.6
String Bean,String Bean,M,36.06,23.0,25.88,40.7,45.0,39.2,4.6,22.0,13.3,157.1,7.51,10.0,21.99,21.99,21.99,10.0,22.02,22.0,22.0
Eggplant,Eggplant,M,62.79,17.64,26.68,82.1,48.6,59.4,19.3,31.0,32.7,233.6,2.92,1.89,32.7,32.7,32.7,8.0,32.7,32.7,32.7
Patola,Patola,M,35.24,17.35,30.02,60.3,51.7,43.2,25.1,34.4,13.2,245.7,4.37,1.28,34.4,34.4,34.4,1.0,34.4,34.4,34.4
Patola,Patola,L,32.32,16.61,24.65,92.2,81.2,62.9,59.9,64.6,38.2,461.4,2.26,3.28,64.6,64.6,64.6,9.0,64.6,64.6,64.6
Okra,Okra,L,95.14,21.28,28.85,88.8,79.1,92.0,7.49,57.8,63.2,451.4,1.91,7.42,63.2,63.2,63.2,8.0,63.2,63.2,63.2
Patola,Patola,H,30.32,17.19,32.1,31.1,20.0,30.8,0.8,2.8,1.69,20.0,6.58,8.86,2.8,2.8,2.8,2.0,2.8,2.8,2.8
Carrot,Carrot,M,78.65,32.03,28.01,76.4,57.8,73.6,3.97,25.8,45.6,325.7,8.23,2.44,45.6,45.6,45.6,6.0,45.6,45.6,45.6
Tomato,Tomato,H,76.52,30.61,34.72,71.6,29.4,29.3,6.72,3.43,3.6,2.54,9.37,1.94,9.0,5.0,5.0,9.0,9.0,10.0,10.0
Carrot,Carrot,L,72.46,32.68,30.57,90.7,89.5,121.8,18.2,56.8,91.2,651.4,7.13,8.55,91.2,91.2,91.2,9.0,91.2,91.2,91.2
Carrot,Carrot,M,58.84,30.43,29.64,82.4,61.7,77.7,23.6,31.3,48.1,343.6,9.11,2.3,48.1,48.1,48.1,10.0,48.1,48.1,48.1
Chayote,Chayote,M,39.98,20.35,28.4,50.6,47.6,46.1,10.6,27.2,17.7,194.3,8.97,9.99,27.2,27.2,27.2,2.0,27.2,27.2,27.2
Chayote,Chayote,M,35.54,20.31,31.19,49.1,51.8,43.3,13.6,31.5,12.1,225.0,5.42,5.42,31.5,31.5,31.5,8.0,31.5,31.5,31.5
Chili Pepper,Chili Pepper,H,31.15,31.13,56.95,28.7,30.1,58.2,6.96,3.04,1.2,8.6,3.52,3.52,1.2,1.2,1.2,9.0,1.2,1.2,1.2
Cabbage,Cabbage,L,121.61,31.23,17.72,157.1,61.6,62.8,35.5,30.4,45.1,322.1,9.15,7.0,45.09,45.09,45.09,3.0,45.12,45.1,45.1
String Bean,String Bean,L,30.01,18.49,32.67,51.6,86.5,49.6,21.6,68.0,16.9,485.7,2.87,3.53,68.0,68.0,68.0,7.0,68.0,68.0,68.0
Tomato,Tomato,L,68.5,28.62,27.8,93.8,120.4,87.3,25.3,91.8,59.5,655.7,4.1,8.8,91.8,91.8,91.8,10.0,91.8,91.8,91.8
Patola,Patola,H,29.97,19.48,29.22,30.0,20.9,28.5,7.59,1.4,9.02,10.0,3.24,6.16,1.4,1.4,1.4,2.0,1.4,1.4,1.4
Patola,Patola,L,33.63,18.02,27.85,90.0,77.9,59.0,56.4,59.9,31.2,427.9,9.54,8.3,59.91,59.91,59.91,8.0,59.91,59.91,59.91
Patola,Patola,L,27.63,20.34,26.7,89.1,83.3,58.3,61.5,63.0,31.6,450.0,9.38,7.66,63.0,63.0,63.0,10.0,63.0,63.0,63.0
Chili Pepper,Chili Pepper,M,24.52,36.96,60.48,61.1,48.2,125.2,36.6,11.2,64.7,462.1,5.91,7.0,64.69,64.69,64.69,2.0,64.72,64.7,64.7
Patola,Patola,L,26.9,22.76,28.47,91.3,78.9,62.7,64.4,56.1,34.2,400.7,18.0,0.7,56.1,56.1,56.1,8.28,64.4,56.11,56.11
String Bean,String Bean,M,28.04,19.5,34.05,39.2,46.0,38.3,11.2,26.5,4.2,189.3,6.98,8.96,26.5,26.5,26.5,2.0,26.5,26.5,26.5
Eggplant,Eggplant,H,70.56,25.04,26.35,69.4,20.9,30.9,5.86,5.24,4.5,32.1,7.38,4.0,4.49,4.49,4.49,7.0,4.52,4.5,4.5
Tomato,Tomato,L,72.0,33.01,29.74,92.1,119.5,89.2,20.1,86.5,59.5,617.9,5.47,7.09,86.51,86.51,86.51,1.0,86.51,86.51,86.51
Chili Pepper,Chili Pepper,M,30.58,31.33,62.83,57.8,48.3,120.3,27.2,17.0,57.5,410.7,7.7,6.08,57.5,57.5,57.5,4.0,57.5,57.5,57.5
Patola,Patola,H,28.18,16.47,27.29,28.5,20.8,31.5,0.3,4.3,4.2,30.7,2.21,8.73,4.3,4.3,4.3,1.0,4.3,4.3,4.3
Okra,Okra,L,80.11,23.04,26.24,94.4,83.4,91.3,14.3,60.4,65.1,465.0,3.12,4.58,65.1,65.1,65.1,4.0,65.1,65.1,65.1
Chili Pepper,Chili Pepper,M,32.61,32.69,55.73,60.4,48.4,121.6,27.8,15.7,65.9,470.7,6.12,7.46,65.9,65.9,65.9,7.0,65.9,65.9,65.9
Okra,Okra,H,90.35,21.34,30.18,83.5,19.5,30.5,8.57,3.57,0.3,2.1,9.32,4.0,0.29,0.29,0.29,4.0,0.32,0.3,0.3
Carrot,Carrot,M,84.26,25.76,27.08,77.9,60.7,74.4,6.09,34.9,47.3,337.9,3.47,1.81,47.31,47.31,47.31,6.0,47.31,47.31,47.31
Chayote,Chayote,H,43.22,18.64,32.41,40.3,19.8,30.9,7.65,1.2,3.23,8.6,8.45,1.41,1.2,1.2,1.2,7.0,1.2,1.2,1.2
Okra,Okra,L,80.13,21.16,30.3,85.6,83.5,92.6,5.5,62.3,62.3,445.0,6.67,5.21,62.3,62.3,62.3,1.0,62.3,62.3,62.3
Chayote,Chayote,L,46.4,19.27,28.84,62.1,79.5,61.7,15.7,60.2,32.9,430.0,7.18,7.48,60.2,60.2,60.2,3.0,60.2,60.2,60.2
Eggplant,Eggplant,H,92.45,18.87,28.97,67.2,20.5,29.2,7.91,1.6,0.2,11.4,7.85,3.31,1.6,1.6,1.6,6.0,1.6,1.6,1.6
Okra,Okra,M,74.88,20.36,28.92,78.7,48.0,62.1,3.8,27.6,33.2,237.1,7.01,1.0,33.19,33.19,33.19,10.0,33.22,33.2,33.2
Chayote,Chayote,M,39.74,19.11,30.98,51.0,50.6,44.0,11.3,31.5,13.0,225.0,7.04,7.27,31.5,31.5,31.5,2.0,31.5,31.5,31.5
Chayote,Chayote,L,40.63,20.99,34.96,57.4,82.2,59.9,16.8,61.2,24.9,437.1,8.5,7.0,61.19,61.19,61.19,9.0,61.22,61.2,61.2
Carrot,Carrot,M,78.38,25.07,36.62,79.2,58.7,72.0,0.8,33.6,35.4,252.9,5.52,4.96,35.41,35.41,35.41,10.0,35.41,35.41,35.41
Chili Pepper,Chili Pepper,H,26.11,25.57,67.34,29.5,28.6,58.6,3.4,3.0,2.53,21.4,0.9,7.85,3.0,3.0,3.0,0.41,3.41,3.0,3.0
Cabbage,Cabbage,M,107.3,30.71,20.62,144.5,36.6,45.9,37.2,5.9,25.3,180.7,25.9,1.88,25.3,25.3,25.3,11.91,37.21,25.3,25.3
String Bean,String Bean,H,35.57,20.36,28.36,35.1,19.7,30.2,6.67,2.4,1.8,12.9,1.08,4.83,1.81,1.81,1.81,4.0,1.81,1.81,1.81
Okra,Okra,L,98.46,18.79,29.64,85.6,83.0,87.1,1.46,64.2,57.5,458.6,9.08,2.25,64.2,64.2,64.2,3.0,64.2,64.2,64.2
Patola,Patola,H,29.27,17.87,28.79,30.8,20.8,31.4,1.5,2.9,2.6,20.7,4.98,6.73,2.9,2.9,2.9,6.0,2.9,2.9,2.9
Cabbage,Cabbage,M,127.14,30.97,18.34,146.2,35.5,43.7,19.1,4.5,25.4,181.4,3.48,9.94,25.4,25.4,25.4,2.0,25.4,25.4,25.4
Chili Pepper,Chili Pepper,L,29.48,22.68,58.36,86.2,82.6,143.0,56.7,59.9,84.6,604.3,2.66,3.39,84.6,84.6,84.6,3.0,84.6,84.6,84.6
Patola,Patola,H,32.28,21.48,27.36,29.1,19.8,28.9,6.48,7.47,1.5,10.7,7.25,6.3,1.5,1.5,1.5,7.0,1.5,1.5,1.5
